crab.ID,treatment,date
25-168,15C,6/28/23
5-009,15C,6/28/23
15-091,15C,6/28/23
15-152,15C,6/28/23
15-154,15C,6/28/23
15-033,15C,6/28/23
25-053,15C,6/28/23
25-119,15C,6/28/23
5-074,15C,6/28/23
5-122,15C,6/28/23
5-182,15C,6/28/23
5-189,15C,6/28/23
15-092,15C,6/28/23
15-161,15C,6/28/23
25-051,15C,6/28/23
25-110,15C,6/28/23
25-202,15C,6/28/23
5-133,15C,6/28/23
25-049,25C,6/29/23
25-056,25C,6/29/23
25-120,25C,6/29/23
25-167,25C,6/29/23
25-203,25C,6/29/23
25-194,25C,6/29/23
5-004,5C,6/29/23
5-121,5C,6/29/23
5-069,5C,6/29/23
5-007,5C,6/29/23
5-063,5C,6/29/23
5-197,5C,6/29/23
25-109,25C,7/5/23
25-058,25C,7/5/23
25-180,25C,7/5/23
25-193,25C,7/5/23
25-048,25C,7/5/23
25-169,25C,7/5/23
5-014,5C,7/5/23
5-066,5C,7/5/23
5-127,5C,7/5/23
5-124,5C,7/5/23
5-181,5C,7/5/23
5-187,5C,7/5/23
25-114,25C,7/19/23
25-171,25C,7/19/23
25-177,25C,7/19/23
25-055,25C,7/19/23
25-059,25C,7/19/23
25-112,25C,7/19/23
5-064,5C,7/19/23
5-123,5C,7/19/23
5-130,5C,7/19/23
5-002,5C,7/19/23
5-012,5C,7/19/23
5-071,5C,7/19/23
25-046,25C,8/9/23
25-050,25C,8/9/23
25-054,25C,8/9/23
25-060,25C,8/9/23
25-186,25C,8/9/23
25-047,25C,8/9/23
25-116,25C,8/9/23
25-117,25C,8/9/23
25-170,25C,8/9/23
25-174,25C,8/9/23
25-175,25C,8/9/23
25-179,25C,8/9/23
25-185,25C,8/9/23
25-052,25C,8/9/23
25-113,25C,8/9/23
25-115,25C,8/9/23
25-172,25C,8/9/23
25-195,25C,8/9/23
5-008,5C,8/9/23
5-067,5C,8/9/23
5-128,5C,8/9/23
5-188,5C,8/9/23
5-006,5C,8/9/23
5-075,5C,8/9/23
5-003,5C,8/9/23
5-005,5C,8/9/23
5-061,5C,8/9/23
5-073,5C,8/9/23
5-126,5C,8/9/23
5-135,5C,8/9/23
5-010,5C,8/9/23
5-015,5C,8/9/23
5-125,5C,8/9/23
5-131,5C,8/9/23